P000282,ELEKTRO AUTOMATIKA Krusevac,Serbia,KRUSEVAC,,
P000283,IGMAN PRO,Serbia,ZEMUN,,
P000284,DIA DOO BEOGRAD-ZEMUN,Serbia,ZEMUN,100092145,
P000285,OMLADINSKA ZADRUGA ZEMUN,Serbia,ZEMUN,100011653,
P000286,ZVEZDA,Serbia,KOVIN,,
P000287,IMR ad u restruktuiranju,Serbia,BEOGRAD,100166696,
P000288,ZIDAR,Serbia,BECEJ,,
P000289,PIVARA VRSAC,Serbia,VRSAC,,
P000290,NEOTEHNA,Serbia,BEOGRAD,,
P000291,SOMBOLED,Serbia,SOMBOR,,
P000292,KTITOS,Serbia,BEOGRAD,,
P000293,INTERMETALIK,Serbia,BEOGRAD,,
P000294,EROZIJA,Serbia,VALJEVO,,
P000295,ZLATAR-ZAVOD ZA PLR,Serbia,NOVA VAROS,,
P000296,ECO ORGANIC LIFE DOO BEOGRAD-SURCIN,Serbia,SURCIN-JAKOVO,100001982,
P000297,TIMIS 94,Serbia,BEOGRAD,,
P000298,YUMCO,Serbia,VRANJE,,
P000299,FEROELEKTRO D.O.O Subotica,Serbia,SUBOTICA,100960243,
P000300,SARTID 1913 STARA ZELJEZARA,Serbia,SMEDEREVO,,
P000301,KAMS DOO N.Beograd,Serbia,NOVI BEOGRAD,100424852,
P000302,BEL PAGETE N.Beograd,Serbia,NOVI BEOGRAD,,
P000303,IBA - ADA,Serbia,ADA,,
P000304,ASTRADE N.Beograd,Serbia,NOVI BEOGRAD,,
P000305,MIRAKULUS,Serbia,BOR,,
P000306,SIMA SARAGA,Serbia,CACAK,,
P000307,GLAXIM,Serbia,BEOGRAD,,
P000308,23 OKTOBAR Novi Sad,Serbia,NOVI SAD,,
P000309,MALITINEX-MALTIWGS Bac.Topola,Serbia,BACKA TOPOLA,,
P000310,HEMOFARM-HEMOMED,Serbia,VRSAC,,
P000311,ISKRA,Serbia,NIS,,
P000312,C MARKET,Serbia,BEOGRAD,,
P000313,DAHLIA DOO Zemun,Serbia,ZEMUN,100010812,
P000314,LINDEMAN,Serbia,SUBOTICA,,
P000315,JUGO COPP Beograd,Serbia,BEOGRAD,101731774,
P000316,EI ERA,Serbia,ZEMUN,,
P000317,ISC,Serbia,BEOGRAD,,
P000318,JP POSTA SRBIJE RJ Zemun,Serbia,BEOGRAD,100002803,Tenderi JN
P000319,SR DJURIC DRAZENKA,Serbia,SOPOT,,
P000320,NIS RAFINERIJA NAFTE,Serbia,NOVI SAD,,
P000322,KOPAONIK,Serbia,UZICE,,
P000323,FABRIKA SECERA DONJI SREM D.O.O.- Pecinci,Serbia,PECINCI,101427339,
P000324,EURO HEMIJA,Serbia,ZEMUN,,
P000325,MS TRANS-COMERC,Serbia,BEOGRAD,,
P000326,GRAMPER d.o.o. Beograd,Serbia,BEOGRAD - CUKARICA,101020321,Zecevic Aleksandar
P000327,EURO SERVIS,Serbia,NOVI SAD,,
P000328,COMEL DOO BEOGRAD,Serbia,BEOGRAD,100172395,Zecevic Aleksandar
P000329,GAJ FABRIKA NAMESTAJA DD,Serbia,ZEMUN,,
P000330,GAJ INZENJERING I OPREMANJE doo Beograd-Zemun,Serbia,ZEMUN,100014609,Japundza Milan
P000332,OBUCA DD EXPORT-IMPORT,Serbia,BEOGRAD,,
P000333,COVEK I PROSTOR D.O.O P.T.P Valjevo,Serbia,VALJEVO,100072630,
P000334,TEHNOJUGEL,Serbia,VALJEVO,,
P000335,DUGA INDUSTRIJA BOJE I LAKOVA Beograd,Serbia,BEOGRAD,,
P000336,LEPOTIC DRAGAN SZR,Serbia,NOVI SAD,,
P000337,ELMONT-ne koristitit,Serbia,SMED.PALANKA,101404683,
P000338,GENEL,Serbia,NOVI SAD,,
P000339,OMEGA DD GROM Mladenovac,Serbia,MLADENOVAC,101478504,
P000340,ELCOP,Serbia,SMED.PALANKA,,
P000341,CIGLANA,Serbia,STARI BECEJ,,
P000342,RTS JP sa p.o ne koristiti,Serbia,BEOGRAD,,
P000343,NAVIP AD ZEMUN u stecaju,Serbia,BEOGRAD,100010896,
P000344,INTELUS DOO Cacak,Serbia,CACAK,101123669,
P000345,SRBIJANKA-SENZAL,Serbia,VALJEVO,,
P000346,KERAMIKA KANJIZA DOO,Serbia,KANJIZA,104776051,Cupac Jovana
P000347,NARODNO POZORISTE,Serbia,BEOGRAD,,
P000348,MISEL-TRADE,Serbia,BEOGRAD,,
P000349,MC TRANS KOMERC,Serbia,BEOGRAD,,
P000351,TP CELIK DOO BEOGRAD,Serbia,BEOGRAD,100003189,
P000352,LS MOBILIA COMMERCE,Serbia,BEOGRAD,,
P000353,LALIC KOMERC,Serbia,BEOGRAD,,
P000354,KUDUZOVIC,Serbia,BEOGRAD,,
P000355,CODKEY,Serbia,BEOGRAD,,
P000356,TEHNOALAT,Serbia,NOVI SAD,,
P000357,SHIPONS,Serbia,NOVI SAD,,
P000358,METRO CASH & CARRY D.O.O Beograd,Serbia,BEOGRAD,102864104,
P000359,VOZDOVAC,Serbia,BEOGRAD,,
P000360,TEHNOPLAST d.o.o. S.Banovci,Serbia,STARI BANOVCI,100488895,
P000361,DAVID PAJIC- DAKA D.O.O Beograd,Serbia,BEOGRAD,100050747,
P000362,VODO-TERMA,Serbia,RUMA,,
P000363,TEHNOTRGOVINA,Serbia,BEOGRAD,,
P000364,SATURN N.PAZAR,Serbia,NOVI PAZAR,,
P000365,FADIP KONCERN A.D. Becej,Serbia,BECEJ,100434866,
P000366,KNJIGA,Serbia,NOVI BEOGRAD,,
P000367,GRMEC A.D Beograd,Serbia,BEOGRAD,,
P000368,KARATE KLUB ST.BANOVCI,Serbia,STARI BANOVCI,,
P000369,KOMBINAT ALUMINIJUMA,CRNA GORA,PODGORICA REPUBLIKA CRNA GORA,,
P000370,ZLATAR PROMET,Serbia,BEOGRAD,,
P000371,BALKAN KOMERC Beograd,Serbia,BEOGRAD,,
P000372,PKB MTS,Serbia,PADINSKA SKELA,,
P000373,KLUPKO,Serbia,PANCEVO,,
P000374,LATERNA D.O.O. Beograd,Serbia,BEOGRAD,100062307,
P000375,FRIGO SISTEM Zemun,Serbia,ZEMUN,,
P000376,TORBICA SNEZANA SZR,Serbia,ST.BANOVCI,,
P000377,ZITOPEK DP,Serbia,NIS,,
P000378,PROMING,Serbia,SMEDEREVO,,
P000379,TRANSPORT VOJINOVIC,Serbia,MALI POZAREVAC,,
P000380,TEHNO-PLAST SOPOT,Serbia,SOPOT,,
P000381,HONEX preduzece za liftove D.O.O. Beograd,Serbia,BEOGRAD,100211137,
P000382,OMI KOMERC,Serbia,BAJINA BASTA,,
P000383,MOBTEL PTT DOO,Serbia,NOVI BEOGRAD,100002160,
P000384,AUTOPREVOZ.ZAJECAR,Serbia,ZAJECAR,,
P000385,INOS HOLDING,Serbia,BEOGRAD,,
P000386,IBM COMERCE D.O.O PREDUZECE ZA PROIZVODNJU, PRER,Serbia,SVILAJNAC,100010095,
P000387,ELMEK N.BANOVCI,Serbia,NOVI BANOVCI,,
P000388,TEHNOKOPIR SERVIS,Serbia,BEOGRAD,,
P000389,NOVKABEL AD N.Sad,Serbia,NOVI SAD,101633239,
P000390,GRAND TRADE COMPANY,Serbia,BEOGRAD,,
P000391,TOPLANA SABAC,Serbia,SABAC,,
P000392,ELEKTRA-S,Serbia,BEOGRAD,,
P000393,ELAS ne koristiti,Serbia,BEOGRAD,,
P000394,PAPUK,Serbia,BEOGRAD,,
P000396,ELEKTROUNION T.P. Beograd,Serbia,BEOGRAD,,
P000397,TERMOELEKTRANA PLJEVLJA-EP CG,CRNA GORA,PLJEVLJA,,
P000398,LIVNICA D.D,Serbia,SMEDEREVO,,
P000399,HOTEL SLOGA PRISTINA,Serbia,PRISTINA,,
P000400,ROYAL INEX,Serbia,BEOGRAD,,
P000401,NBA  COMMERCE Beograd,Serbia,BEOGRAD,100044095,
P000402,TOZA MARKOVIC AD Kikinda,Serbia,KIKINDA,100579713,
P000403,KONEL Beograd,Serbia,BEOGRAD,,
P000404,CONTRAST D.O.O Beograd,Serbia,BEOGRAD,100214806,
P000405,ELEKTROREMONT SUBOTICA,Serbia,SUBOTICA,,
P000406,BEOGRADSKO BAGERSKO PREDUZECE,Serbia,BEOGRAD,,
P000407,RUDNIK SUMADIJA,Serbia,CACAK,,
P000408,TIM PRODUCT BEOGRAD (ZVEZDARA),Serbia,BEOGRAD - ZVEZDARA,100243950,Uniprom -
P000409,ROBNE KUCE BEOGRAD,Serbia,BEOGRAD,,
P000410,VOS DP,Serbia,ZABALJ,,
P000411,ELEKTROPORCELAN a.d Arandjelovac,Serbia,ARANDELOVAC,100901067,
P000412,AUTOPREVOZ.STAMATOVIC SRDAN Kovin,Serbia,KOVIN,,
P000413,ELEKTROMORAVA Smederevo,Serbia,SMEDEREVO,,
